20250319 063600,19741.25,19744,19740,19742.5,61
20250319 063700,19741.75,19743,19738.25,19739.25,24
20250319 063800,19738.25,19738.25,19735.25,19736.25,36
20250319 063900,19735.25,19736,19734,19735,44
20250319 064000,19735,19739.25,19734.5,19738.5,65
20250319 064100,19738.5,19738.5,19731.75,19732.5,31
20250319 064200,19733,19733.25,19730.25,19732.25,36
20250319 064300,19731.75,19736.75,19731,19736.25,24
20250319 064400,19736.25,19738,19736,19736.75,20
20250319 064500,19736.75,19740.25,19734.25,19739,45
20250319 064600,19739.5,19740.75,19738.5,19738.5,50
20250319 064700,19740,19742,19739.5,19739.5,26
20250319 064800,19738.25,19739.75,19738.25,19738.25,12
20250319 064900,19737.75,19738.25,19732.5,19733.25,35
20250319 065000,19735,19735.25,19734,19734,16
20250319 065100,19734.25,19735.5,19729.25,19730.5,35
20250319 065200,19730.5,19730.75,19726.5,19730.75,79
20250319 065300,19731,19738,19729.25,19737,48
20250319 065400,19737.75,19738.5,19736.5,19736.5,18
20250319 065500,19736.75,19738.75,19736.75,19738.5,6
20250319 065600,19738,19738.75,19736.75,19738.25,9
20250319 065700,19738.75,19739.5,19736.75,19736.75,8
20250319 065800,19738.75,19738.75,19736,19737,7
20250319 065900,19736,19739,19736,19738,35
20250319 070000,19738.75,19738.75,19726.25,19733.5,133
20250319 070100,19733.75,19734.25,19721.75,19722.75,93
20250319 070200,19720.25,19721,19714.25,19715.25,202
20250319 070300,19715.5,19721,19715,19717.5,84
20250319 070400,19717.5,19721.75,19716,19719.25,77
20250319 070500,19719.75,19719.75,19715.5,19716.5,77
20250319 070600,19717.5,19717.75,19708,19710.5,141
20250319 070700,19711.25,19711.75,19705.25,19707,106
20250319 070800,19707.5,19712.25,19707.5,19708,127
20250319 070900,19708,19709.5,19704,19705.25,86
20250319 071000,19706,19709.75,19704,19708.25,107
20250319 071100,19708.75,19714,19708.25,19713.75,83
20250319 071200,19713.25,19714.75,19710.25,19713.5,62
20250319 071300,19713.25,19713.25,19697,19698.25,132
20250319 071400,19698.75,19699.5,19694.5,19696.75,112
20250319 071500,19696.5,19707.5,19696,19706.25,105
20250319 071600,19707,19715,19704.75,19713,115
20250319 071700,19713.25,19716.5,19708.75,19710.5,118
20250319 071800,19709.25,19717.25,19707.25,19715,91
20250319 071900,19713.25,19720.5,19712.75,19720.5,46
20250319 072000,19719.75,19724.5,19717.5,19717.5,117
20250319 072100,19718.25,19718.25,19713.75,19714.25,69
20250319 072200,19714.25,19714.25,19708.25,19711.25,86
20250319 072300,19711,19717.5,19708,19717,68
20250319 072400,19716.5,19719.5,19715.75,19717.25,79
20250319 072500,19717.25,19723.25,19717.25,19722.75,63
20250319 072600,19723.25,19726,19723.25,19725,53
20250319 072700,19726.25,19726.75,19723.25,19723.25,46
20250319 072800,19723.5,19727,19723.25,19727,31
20250319 072900,19726.5,19727,19718.5,19722.5,68
20250319 073000,19723.25,19725.75,19715,19724.5,136
20250319 073100,19724.25,19726,19721.5,19722.25,42
20250319 073200,19723.75,19726,19720.25,19721.75,53
20250319 073300,19721,19721.25,19714.25,19719.75,94
20250319 073400,19719.5,19719.75,19713.25,19714.25,65
20250319 073500,19714.5,19715.5,19708.5,19711.5,82
20250319 073600,19711.5,19712.25,19699.5,19700,109
20250319 073700,19699.75,19699.75,19684,19687.25,313
20250319 073800,19686,19694,19686,19692.5,120
20250319 073900,19693,19697,19681.5,19685,172
20250319 074000,19685.25,19689.5,19682.75,19683.5,106
20250319 074100,19682.5,19683.75,19672.25,19672.75,185
20250319 074200,19673,19681,19671.5,19676.5,150
20250319 074300,19676.25,19676.25,19664.75,19666.75,242
20250319 074400,19666.25,19672.25,19660,19670.75,252
20250319 074500,19669.75,19671.5,19663,19663,141
20250319 074600,19664.25,19673.5,19663.5,19673.5,164
20250319 074700,19673.5,19673.5,19665,19667.5,142
20250319 074800,19666.75,19674.75,19660,19672.25,207
20250319 074900,19674,19684.25,19672.75,19682,221
20250319 075000,19681.75,19688.25,19681.75,19687.75,115
20250319 075100,19687.75,19690.75,19677.75,19681.25,171
20250319 075200,19680.75,19683.5,19677,19679.5,141
20250319 075300,19679.75,19680,19672.5,19674.75,107
20250319 075400,19676,19680.75,19674,19678.75,70
20250319 075500,19678.25,19679.25,19667.25,19669.75,176
20250319 075600,19668.25,19679.5,19668.25,19675.5,143
20250319 075700,19674,19675.75,19670.5,19675.75,111
20250319 075800,19674.25,19674.25,19663.25,19670.25,161
20250319 075900,19668.25,19674.5,19667.75,19673.75,75
20250319 080000,19673.75,19698,19671.75,19694,648
20250319 080100,19694,19700,19691,19692.25,235
20250319 080200,19691,19697.25,19688.75,19696,206
20250319 080300,19697,19699.75,19692.25,19692.25,124
20250319 080400,19691.75,19697.5,19690,19692.5,173
20250319 080500,19692,19701.5,19686.5,19700.75,165
20250319 080600,19701.75,19703.25,19688,19693.5,237
20250319 080700,19693.75,19707.5,19692.25,19705.25,180
20250319 080800,19703.75,19708.75,19702,19707.75,150
20250319 080900,19705.25,19717.75,19703.75,19714.5,215
20250319 081000,19715,19716,19702.75,19702.75,204
20250319 081100,19702.25,19707.5,19697.75,19700.75,175
20250319 081200,19699,19701.5,19693.75,19696.5,91
20250319 081300,19697.25,19701.75,19693.25,19697.25,109
20250319 081400,19698.25,19708.75,19698.25,19707.75,140
20250319 081500,19708.5,19709,19692,19694,245
20250319 081600,19695,19699,19687.5,19699,108
20250319 081700,19698.75,19701,19695.5,19698.5,83
20250319 081800,19697.75,19700.25,19691,19695,94
20250319 081900,19694.75,19703.5,19694.75,19703.5,117
20250319 082000,19701,19705.5,19700,19703.75,60
20250319 082100,19702.5,19707.5,19700.5,19706.25,90
20250319 082200,19706.75,19709,19704.5,19706.5,64
20250319 082300,19707.5,19714.75,19707.5,19711,155
20250319 082400,19711.25,19712.25,19705.75,19706.25,66
20250319 082500,19707.25,19709.75,19703,19706.5,91
20250319 082600,19706.5,19713.5,19706,19710,122
20250319 082700,19709.5,19709.75,19706.5,19706.5,70
20250319 082800,19706.25,19715.5,19704.5,19715.25,151
20250319 082900,19716,19724,19714.75,19720.75,236
20250319 083000,19721.5,19723.25,19716.75,19721,165
20250319 083100,19720.25,19726,19719,19720.75,167
20250319 083200,19721,19729.25,19719,19726.75,248
20250319 083300,19727.75,19733.25,19727.75,19733.25,144
20250319 083400,19732.25,19742.75,19732.25,19742.75,201
20250319 083500,19742.25,19745.5,19740.25,19745.5,179
20250319 083600,19745,19746,19740,19742,133
20250319 083700,19743.25,19745,19741,19744.5,60
20250319 083800,19743.5,19746,19741.25,19745.25,171
20250319 083900,19744.5,19746.5,19738,19738.75,99
20250319 084000,19740.25,19740.5,19731.5,19732.5,216
20250319 084100,19731.5,19735.25,19729,19732.5,116
20250319 084200,19732.5,19733,19727.75,19727.75,56
20250319 084300,19726.75,19729,19723.5,19727,109
20250319 084400,19725.5,19730.75,19725.5,19728.75,88
20250319 084500,19728.75,19728.75,19721,19724,161
20250319 084600,19723.25,19733.75,19721.75,19732.25,144
20250319 084700,19732,19734,19731,19733.25,36
20250319 084800,19733.25,19736.75,19731,19733.25,122
20250319 084900,19732.5,19737.5,19731.75,19736.75,68
20250319 085000,19736.25,19738.75,19734.5,19735.75,122
20250319 085100,19734.5,19734.5,19725,19725.25,96
20250319 085200,19725,19727,19720.75,19725.25,259
20250319 085300,19725.5,19730.5,19721.5,19723.5,181
20250319 085400,19724.5,19731.25,19723.75,19731.25,55
20250319 085500,19730.25,19732,19724.75,19724.75,45
20250319 085600,19724,19726.75,19721.75,19723,45
20250319 085700,19722.75,19728,19722.75,19723.25,69
20250319 085800,19723.75,19729,19722.75,19726.5,52
20250319 085900,19726.75,19730,19721.5,19721.5,103
20250319 090000,19721,19724,19712,19717.25,360
